Geographic area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Eastern Africa,Percentage of households with at least one insecticide-treated mosquito net (ITN),Total,2022,68.9,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Total
Eastern Africa,Pregnant women sleeping under ITN - percentage of pregnant women (aged 15-49 years) who slept under an insecticide-treated net the previous night,Female,2022,55.9,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,15 to 49 years old
Eastern Africa,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Female,2022,78.3,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern Africa,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Male,2022,77.4,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern Africa,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Total,2022,80.4,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern Africa,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Female,2022,59.2,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern Africa,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Male,2022,58.9,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern Africa,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Total,2022,59.2,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern Africa,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing,Female,2022,41,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern Africa,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing,Male,2022,42.2,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern Africa,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing,Total,2022,43.3,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern Mediterranean,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Total,2022,12.9,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2022,Under 5 years old
Eastern Mediterranean,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Female,2022,73.1,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern Mediterranean,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Male,2022,75.5,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern Mediterranean,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Total,2022,74.4,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern and Southern Africa,IPTp for pregnant women - percentage of women (aged 15-49 years) who received three or more doses of intermittent preventive treatment during antenatal care visits during their last pregnancy,Female,2022,30.7,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,15 to 49 years old
Eastern and Southern Africa,IPTp for pregnant women - percentage of women (aged 15-49 years) who received three or more doses of intermittent preventive treatment during antenatal care visits during their last pregnancy,Female,2022,30.7,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,15 to 49 years old
Eastern and Southern Africa,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Total,2022,55.4,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2022,Under 5 years old
Eastern and Southern Africa,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Total,2022,56,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2022,Under 5 years old
Eastern and Southern Africa,Household with insecticide treated net (ITN) and/or indoor residual spraying (IRS) - percentage of households with at least one ITN for every two persons and/or IRS in the past 12 months,Total,2022,38.3,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Total
Eastern and Southern Africa,Household with insecticide treated net (ITN) and/or indoor residual spraying (IRS) - percentage of households with at least one ITN for every two persons and/or IRS in the past 12 months,Total,2022,38.3,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Total
Eastern and Southern Africa,Percentage of households with at least one insecticide-treated mosquito net (ITN),Total,2022,65.1,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Total
Eastern and Southern Africa,Percentage of households with at least one insecticide-treated mosquito net (ITN),Total,2022,65.1,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Total
Eastern and Southern Africa,Pregnant women sleeping under ITN - percentage of pregnant women (aged 15-49 years) who slept under an insecticide-treated net the previous night,Female,2022,52,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,15 to 49 years old
Eastern and Southern Africa,Pregnant women sleeping under ITN - percentage of pregnant women (aged 15-49 years) who slept under an insecticide-treated net the previous night,Female,2022,52,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,15 to 49 years old
Eastern and Southern Africa,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Female,2022,77.1,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern and Southern Africa,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Female,2022,77.1,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern and Southern Africa,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Male,2022,77.9,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern and Southern Africa,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Male,2022,77.9,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern and Southern Africa,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Total,2022,79.9,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern and Southern Africa,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Total,2022,79.9,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern and Southern Africa,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Female,2022,59.2,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern and Southern Africa,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Female,2022,59.2,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern and Southern Africa,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Male,2022,59,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern and Southern Africa,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Male,2022,59,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern and Southern Africa,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Total,2022,59.2,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern and Southern Africa,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Total,2022,59.2,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern and Southern Africa,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing,Female,2022,40,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern and Southern Africa,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing,Female,2022,40,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern and Southern Africa,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing,Male,2022,41.4,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern and Southern Africa,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing,Male,2022,41.4,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern and Southern Africa,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing,Total,2022,42.2,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Eastern and Southern Africa,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing,Total,2022,42.2,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Egypt,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Female,2014,64.1,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2014,,,End of fieldwork,,2014,Under 5 years old
Egypt,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Male,2014,71.3,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2014,,,End of fieldwork,,2014,Under 5 years old
Egypt,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Total,2014,67.9,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2014,,,End of fieldwork,,2014,Under 5 years old
Equatorial Guinea,IPTp for pregnant women - percentage of women (aged 15-49 years) who received three or more doses of intermittent preventive treatment during antenatal care visits during their last pregnancy,Female,2011,24.3,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2011,,,End of fieldwork,,2011,15 to 49 years old
Equatorial Guinea,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2000,1,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2000,,,End of fieldwork,,2000-2011,Under 5 years old
Equatorial Guinea,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2011,21.9,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2011,,,End of fieldwork,,2000-2011,Under 5 years old
Equatorial Guinea,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Male,2000,1,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2000,,,End of fieldwork,,2000-2011,Under 5 years old
Equatorial Guinea,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Male,2011,24.1,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2011,,,End of fieldwork,,2000-2011,Under 5 years old
Equatorial Guinea,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Total,2000,1,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2000,,,End of fieldwork,,2000-2011,Under 5 years old
Equatorial Guinea,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Total,2011,23,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2011,,,End of fieldwork,,2000-2011,Under 5 years old
Equatorial Guinea,Percentage of households with at least one insecticide-treated mosquito net (ITN),Total,2011,37.9,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2011,,,End of fieldwork,,2011,Total
Equatorial Guinea,Pregnant women sleeping under ITN - percentage of pregnant women (aged 15-49 years) who slept under an insecticide-treated net the previous night,Female,2011,24,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2011,,,End of fieldwork,,2011,15 to 49 years old
Equatorial Guinea,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Female,2011,46.3,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2011,,,End of fieldwork,,2011,Under 5 years old
Equatorial Guinea,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Male,2011,42.1,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2011,,,End of fieldwork,,2011,Under 5 years old
Equatorial Guinea,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Total,2011,44.1,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2011,,,End of fieldwork,,2011,Under 5 years old
Equatorial Guinea,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Female,2011,58.8,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2011,,,End of fieldwork,,2011,Under 5 years old
Equatorial Guinea,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Male,2011,64.4,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2011,,,End of fieldwork,,2011,Under 5 years old
Equatorial Guinea,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Total,2011,61.7,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2011,,,End of fieldwork,,2011,Under 5 years old
Equatorial Guinea,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing,Female,2011,43.5,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2011,,,End of fieldwork,,2011,Under 5 years old
Equatorial Guinea,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing,Male,2011,48.3,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2011,,,End of fieldwork,,2011,Under 5 years old
Equatorial Guinea,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing,Total,2011,45.9,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2011,,,End of fieldwork,,2011,Under 5 years old
Eritrea,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2002,4,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2002,,,End of fieldwork,,2002-2010,Under 5 years old
Eritrea,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2008,49,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2008,,,End of fieldwork,,2002-2010,Under 5 years old
Eritrea,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2010,20.2,Units,%,Reported,Free,,,,,,Population and Health Survey 2010,,,End of fieldwork,,2002-2010,Under 5 years old
Eritrea,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Male,2002,4,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2002,,,End of fieldwork,,2002-2010,Under 5 years old
Eritrea,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Male,2008,48.9,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2008,,,End of fieldwork,,2002-2010,Under 5 years old
Eritrea,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Male,2010,20.5,Units,%,Reported,Free,,,,,,Population and Health Survey 2010,,,End of fieldwork,,2002-2010,Under 5 years old
Eritrea,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Total,2002,4,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2002,,,End of fieldwork,,2002-2010,Under 5 years old
Eritrea,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Total,2008,48.9,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2008,,,End of fieldwork,,2002-2010,Under 5 years old
Eritrea,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Total,2010,20.4,Units,%,Reported,Free,,,,,,Population and Health Survey 2010,,,End of fieldwork,,2002-2010,Under 5 years old
Eritrea,Percentage of households with at least one insecticide-treated mosquito net (ITN),Total,2008,70.9,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2008,,,End of fieldwork,,2008,Total
Eritrea,Pregnant women sleeping under ITN - percentage of pregnant women (aged 15-49 years) who slept under an insecticide-treated net the previous night,Female,2002,2.9,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2002,,,End of fieldwork,,2002,15 to 49 years old
Eritrea,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Total,2008,4.6,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2008,,,End of fieldwork,,2008,Under 5 years old
Eswatini,IPTp for pregnant women - percentage of women (aged 15-49 years) who received three or more doses of intermittent preventive treatment during antenatal care visits during their last pregnancy,Female,2010,1.1,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2010,,,End of fieldwork,,2010,15 to 49 years old
Eswatini,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2007,1,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2006-2007,,,End of fieldwork,,2007-2010,Under 5 years old
Eswatini,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2010,1.3,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2010,,,End of fieldwork,,2007-2010,Under 5 years old
Eswatini,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Male,2007,1,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2006-2007,,,End of fieldwork,,2007-2010,Under 5 years old
Eswatini,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Male,2010,1.7,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2010,,,End of fieldwork,,2007-2010,Under 5 years old
Eswatini,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Total,2007,1,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2006-2007,,,End of fieldwork,,2007-2010,Under 5 years old
Eswatini,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Total,2010,1.5,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2010,,,End of fieldwork,,2007-2010,Under 5 years old
Eswatini,Household with insecticide treated net (ITN) and/or indoor residual spraying (IRS) - percentage of households with at least one ITN for every two persons and/or IRS in the past 12 months,Total,2010,12.7,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2010,,,End of fieldwork,,2010,Total
Eswatini,Percentage of households with at least one insecticide-treated mosquito net (ITN),Total,2007,4,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2006-2007,,,End of fieldwork,,2007-2010,Total
Eswatini,Percentage of households with at least one insecticide-treated mosquito net (ITN),Total,2010,9.9,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2010,,,End of fieldwork,,2007-2010,Total
Eswatini,Pregnant women sleeping under ITN - percentage of pregnant women (aged 15-49 years) who slept under an insecticide-treated net the previous night,Female,2007,0.9,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2006-2007,,,End of fieldwork,,2007-2010,15 to 49 years old
Eswatini,Pregnant women sleeping under ITN - percentage of pregnant women (aged 15-49 years) who slept under an insecticide-treated net the previous night,Female,2010,1.6,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2010,,,End of fieldwork,,2007-2010,15 to 49 years old
Eswatini,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Female,2010,33.3,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2010,,,End of fieldwork,,2010,Under 5 years old
Eswatini,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Total,2010,19.7,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2010,,,End of fieldwork,,2010,Under 5 years old
Eswatini,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Female,2014,61.2,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2014,,,End of fieldwork,,2014,Under 5 years old
Eswatini,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Male,2014,65.3,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2014,,,End of fieldwork,,2014,Under 5 years old
Eswatini,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Total,2014,63.2,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2014,,,End of fieldwork,,2014,Under 5 years old
Eswatini,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing,Female,2010,10.3,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2010,,,End of fieldwork,,2010,Under 5 years old
Eswatini,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing,Male,2010,16.7,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2010,,,End of fieldwork,,2010,Under 5 years old
Eswatini,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing,Total,2010,13.6,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2010,,,End of fieldwork,,2010,Under 5 years old
Ethiopia,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2005,1,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2005,,,End of fieldwork,,2005-2015,Under 5 years old
Ethiopia,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2007,33,Units,%,Reported,Free,,,,,,Other NS 2007,,,End of fieldwork,,2005-2015,Under 5 years old
Ethiopia,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2011,38.4,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2011,,,End of fieldwork,,2005-2015,Under 5 years old
Ethiopia,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2015,46,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2015,,,End of fieldwork,,2005-2015,Under 5 years old
Ethiopia,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Male,2005,2,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2005,,,End of fieldwork,,2005-2015,Under 5 years old
Ethiopia,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Male,2007,33,Units,%,Reported,Free,,,,,,Other NS 2007,,,End of fieldwork,,2005-2015,Under 5 years old
Ethiopia,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Male,2011,37.7,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2011,,,End of fieldwork,,2005-2015,Under 5 years old
Ethiopia,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Male,2015,44.6,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2015,,,End of fieldwork,,2005-2015,Under 5 years old
Ethiopia,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Total,2005,2,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2005,,,End of fieldwork,,2005-2015,Under 5 years old
Ethiopia,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Total,2007,33,Units,%,Reported,Free,,,,,,Other NS 2007,,,End of fieldwork,,2005-2015,Under 5 years old
Ethiopia,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Total,2011,30.1,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2011,,,End of fieldwork,,2005-2015,Under 5 years old
Ethiopia,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Total,2015,45.3,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2015,,,End of fieldwork,,2005-2015,Under 5 years old
Ethiopia,Percentage of households with at least one insecticide-treated mosquito net (ITN),Total,2005,3,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2005,,,End of fieldwork,,2005-2015,Total
