year,country,ACT,CQ,data type,Region,lat,long,displayName,layerName,layerTitle,value,study Id,site number,site,study start,study end,marker type,tested,present,Mixed present,author,publication year,publication URL,title,notes,pubmed Id,drug,marker group,percentage,included or excluded,PR,Prev_DR,CQ_use
2001,Cameroon,NA,NA,NA,Central Africa,3.87,11.52,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.539849937,12455496,0,Yaoundé,2000,2001,pfcrt 76T,155,90,108,Basco L,2002,http://www.ncbi.nlm.nih.gov/pubmed/12455496,In vitro data available,12455496,Molecular epidemiology of malaria in Cameroon. XIII. Analysis of pfcrt mutations and in vitro chloroquine resistance.,Amodiaquine,pfcrt 76T,70,NA,53.9849937,58.06451613,NA
2003,Cameroon,NA,NA,NA,Central Africa,3.87,11.52,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.439436197,16154388,10,NA,1998,2003,pfcrt 76T,5,4,4,Severini C,2006,http://www.ncbi.nlm.nih.gov/pubmed/16154388,Travellers. Mixed infections excluded. In vit,16154388,Prevalence of pfcrt point mutations and level of chloroquine resistance in Plasmodium falciparum isolates from Africa.,Amodiaquine,pfcrt 76T,80,E,43.94361973,80,NA
2003,Cameroon,NA,NA,NA,Central Africa,3.87,11.52,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.439436197,17033142,9,NA,1998,2003,pfcrt 76T,5,4,4,Menegon M,2006,http://www.iss.it/publ/anna/2006/2/422203.pdf,Article in Italian. In vitro data available.,17033142,[Molecular epidemiology of imported malaria in Italy: the use of genetic markers and in vitro sensitivity test in a study of chloroquine resistance in Plasmodium falciparum].,Amodiaquine,pfcrt 76T,80,NA,43.94361973,80,NA
2005,Cameroon,NA,NA,NA,Central Africa,3.87,11.52,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.235737219,20439955,8,NA,2003,2005,pfcrt 76T,2,2,2,Andriantsoanirina V,2010,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2861372&tool=pmcentrez&rendertype=abstract,"In vitro data_x000d_
Travellers",20439955,Association of microsatellite variations of Plasmodium falciparum Na+/H+ exchanger (Pfnhe-1) gene with reduced in vitro susceptibility to quinine: lack of confirmation in clinical isolates from Africa.,Amodiaquine,pfcrt 76T,100,NA,23.57372195,100,NA
2005,Cameroon,NA,NA,NA,Central Africa,4.09,9.31,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.59859395,631,1,Mutengene,2003,2005,pfcrt 76T,230,223,223,"Moyeh MN, Njimoh DL, Evehe MS, Ali IM, Nji AM, Nkafu DN, Masumbe PN, Barbara AT, Ndikum VN, Mbacham WF.",2018,https://www.ncbi.nlm.nih.gov/pubmed/?term=29854394,NA,29854394,"Effects of Drug Policy Changes on Evolution of Molecular Markers of Plasmodium falciparum Resistance to Chloroquine, Amodiaquine, and Sulphadoxine-Pyrimethamine in the South West Region of Cameroon.",Amodiaquine,pfcrt 76T,97,I,59.85939503,96.95652174,NA
2003,Central African Republic,NA,NA,NA,Central Africa,4.37,18.58,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.689548552,16154388,15,NA,1998,2003,pfcrt 76T,2,1,1,Severini C,2006,http://www.ncbi.nlm.nih.gov/pubmed/16154388,Travellers. Mixed infections excluded. In vit,16154388,Prevalence of pfcrt point mutations and level of chloroquine resistance in Plasmodium falciparum isolates from Africa.,Amodiaquine,pfcrt 76T,50,E,68.9548552,50,NA
2003,Central African Republic,NA,NA,NA,Central Africa,4.37,18.58,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.689548552,17033142,13,NA,1998,2003,pfcrt 76T,2,1,1,Menegon M,2006,http://www.iss.it/publ/anna/2006/2/422203.pdf,Article in Italian. In vitro data available.,17033142,[Molecular epidemiology of imported malaria in Italy: the use of genetic markers and in vitro sensitivity test in a study of chloroquine resistance in Plasmodium falciparum].,Amodiaquine,pfcrt 76T,50,NA,68.9548552,50,NA
2004,Central African Republic,NA,NA,NA,Central Africa,4.37,18.58,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.79074192,16474071,0,Bangui,2004,2004,pfcrt 76T,180,75,108,Menard D,2006,http://www.ncbi.nlm.nih.gov/pubmed/16474071,NA,16474071,"Frequency distribution of antimalarial drug-resistant alleles among isolates of Plasmodium falciparum in Bangui, Central African Republic.",Amodiaquine,pfcrt 76T,60,NA,79.07419205,41.66666667,NA
2005,Central African Republic,NA,NA,NA,Central Africa,4.37,18.58,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.852399945,740,1,NA,2002,2005,pfcrt 76T,139,133,133,"Amor A, Toro C, FernÃ¡ndez-MartÃ­nez A, Baquero M, Benito A, Berzosa P.",2012,https://www.ncbi.nlm.nih.gov/pubmed/?term=22462737,NA,22462737,Molecular markers in plasmodium falciparum linked to resistance to anti-malarial drugs in samples imported from Africa over an eight-year period (2002-2010): impact of the introduction of artemisinin combination therapy.,Amodiaquine,pfcrt 76T,97,NA,85.23999453,95.68345324,NA
2001,China,NA,NA,NA,Asia,20.02,110.35,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0,15827277,4,Hainan,2001,2001,pfcrt 76T,68,33,36,Wang X,2005,http://www.ncbi.nlm.nih.gov/pubmed/?term=15827277,In vitro data available.,15827277,Decreased prevalence of the Plasmodium falciparum chloroquine resistance transporter 76T marker associated with cessation of chloroquine use against P. falciparum malaria in Hainan,Amodiaquine,pfcrt 76T,90,NA,0,48.52941176,NA
2004,China,NA,NA,NA,Asia,25.05,102.71,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0,17875016,0,Yunnan,2003,2004,pfcrt 76T,34,34,34,Yang Z,2007,http://www.ncbi.nlm.nih.gov/pubmed/17875016,"Pfmdr1 SNPs also assessed, however denominato",17875016,"Molecular analysis of chloroquine resistance in Plasmodium falciparum in Yunnan Province, China.",Amodiaquine,pfcrt 76T,100,NA,0,100,NA
2004,China,NA,NA,NA,Asia,20.02,110.35,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0,17954685,0,Hainan Island,2002,2004,pfcrt 76T,44,28,28,Chen N,2008,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2223894&tool=pmcentrez&rendertype=abstract,Infections with several clones excluded.,17954685,"No genetic bottleneck in Plasmodium falciparum wild-type Pfcrt alleles reemerging in Hainan Island, China, following high-level chloroquine resistance.",Amodiaquine,pfcrt 76T,64,E,0,63.63636364,NA
2001,Colombia,NA,NA,NA,South America,4.6,-74.08,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0,18165517,0,NA,1999,2001,pfcrt 76T,15,15,15,Echeverry DF,2007,http://www.ncbi.nlm.nih.gov/pubmed/18165517,In vitro AQ DAQ data available,18165517,Short report: polymorphisms in the pfcrt and pfmdr1 genes of Plasmodium falciparum and in vitro susceptibility to amodiaquine and desethylamodiaquine.,Amodiaquine,pfcrt 76T,100,NA,0,100,NA
2001,Colombia,NA,NA,NA,South America,4.6,-74.08,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0,24657918,2,NA,1999,2001,pfcrt 76T,50,50,50,Jovel IT,2014,http://www.ncbi.nlm.nih.gov/pubmed/24657918,NA,24657918,Single nucleotide polymorphisms in Plasmodium falciparum V type H(+) pyrophosphatase gene (pfvp2) and their associations with pfcrt and pfmdr1 polymorphisms.,Amodiaquine,pfcrt 76T,100,I,0,100,NA
2001,Colombia,NA,NA,NA,South America,4.6,-74.08,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0,15216481,6,Nothern Pacific,2001,2001,pfcrt 76T,1,1,1,Vieira PP,2004,http://www.ncbi.nlm.nih.gov/pubmed/15216481,NA,15216481,pfcrt Polymorphism and the spread of chloroquine resistance in Plasmodium falciparum populations across the Amazon Basin.,Amodiaquine,pfcrt 76T,100,NA,0,100,NA
2004,Colombia,NA,NA,NA,South America,8.1,-76.73,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.007365813,19462557,0,"Turbo, El Bagre, Zaragoza",2002,2004,pfcrt 76T,172,172,172,Restrepo E,2008,http://www.ncbi.nlm.nih.gov/pubmed/19462557,"Clinical data on CQ, MQ, AQ, SP available.",19462557,Plasmodium falciparum: high frequency of pfcrt point mutations and emergence of new mutant haplotypes in Colombia.,Amodiaquine,pfcrt 76T,100,NA,0.736581255,100,NA
2001,Comoros,NA,NA,NA,East Africa,-11.72,43.25,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.14648512,15638145,0,Moroni,2001,2001,pfcrt 76T,30,25,25,Randrianarivelojosia M,2004,http://www.ncbi.nlm.nih.gov/pubmed/15638145,NA,15638145,Plasmodium falciparum resistant to chloroquine and to pyrimethamine in Comoros,Amodiaquine,pfcrt 76T,83,NA,14.64851201,83.33333333,NA
2003,Comoros,NA,NA,NA,East Africa,-11.72,43.25,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.121505663,16310329,0,NA,2003,2003,pfcrt 76T,20,18,18,Parola P,2005,http://www.ncbi.nlm.nih.gov/pubmed/16310329,Travellers. In vitro data available.,16310329,[Chemosusceptibility analysis of Plasmodium falciparum imported from Comoros to Marseilles,Amodiaquine,pfcrt 76T,90,NA,12.15056628,90,NA
2004,Comoros,NA,NA,NA,East Africa,-11.72,43.25,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.047019072,16569231,11,NA,1998,2004,pfcrt 76T,1,0,0,Cojean S,2006,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=1448192&tool=pmcentrez&rendertype=abstract,Travellers. Mixed infections excluded. In vit,16569231,Lack of association between putative transporter gene polymorphisms in Plasmodium falciparum and chloroquine resistance in imported malaria isolates from Africa.,Amodiaquine,pfcrt 76T,0,E,4.701907188,0,NA
2002,Congo,NA,NA,NA,Central Africa,-4.27,15.28,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.185512483,16185238,1,Brazzaville,1999,2002,pfcrt 76T,96,12,95,Nsimba B,2005,http://www.ncbi.nlm.nih.gov/pubmed/16185238,NA,16185238,Epidemiology of drug-resistant malaria in Republic of Congo: using molecular evidence for monitoring antimalarial drug resistance combined with assessment of antimalarial drug use.,Amodiaquine,pfcrt 76T,99,NA,18.55124831,12.5,NA
2002,Congo,NA,NA,NA,Central Africa,-4.77,11.87,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.367651731,16185238,2,Pointe-Noire,1999,2002,pfcrt 76T,42,39,39,Nsimba B,2005,http://www.ncbi.nlm.nih.gov/pubmed/16185238,NA,16185238,Epidemiology of drug-resistant malaria in Republic of Congo: using molecular evidence for monitoring antimalarial drug resistance combined with assessment of antimalarial drug use.,Amodiaquine,pfcrt 76T,93,NA,36.76517308,92.85714286,NA
2003,Congo,NA,NA,NA,Central Africa,-4.27,15.28,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.191600636,16002038,0,Brazzaville,2003,2003,pfcrt 76T,50,50,50,Mayengue PI,2005,http://www.ncbi.nlm.nih.gov/pubmed/16002038,Clinical CQ data available.,16002038,In vivo chloroquine resistance and prevalence of the pfcrt codon 76 mutation in Plasmodium falciparum isolates from the Republic of Congo.,Amodiaquine,pfcrt 76T,100,NA,19.16006356,100,NA
2004,Congo,NA,NA,NA,Central Africa,-4.27,15.28,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.201660439,16569231,5,NA,1998,2004,pfcrt 76T,1,1,1,Cojean S,2006,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=1448192&tool=pmcentrez&rendertype=abstract,Travellers. Mixed infections excluded. In vit,16569231,Lack of association between putative transporter gene polymorphisms in Plasmodium falciparum and chloroquine resistance in imported malaria isolates from Africa.,Amodiaquine,pfcrt 76T,100,E,20.16604394,100,NA
2005,Congo,NA,NA,NA,Central Africa,-4.27,15.28,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.191720426,737,1,Brazzaville,2005,2005,pfcrt 76T,100,93,93,"Tsumori Y, Ndounga M, Sunahara T, Hayashida N, Inoue M, Nakazawa S, Casimiro P, Isozumi R, Uemura H, Tanabe K, Kaneko O, Culleton R.",2011,https://www.ncbi.nlm.nih.gov/pubmed/?term=21858115,asymptomatic,21858115,"Plasmodium falciparum: differential selection of drug resistance alleles in contiguous urban and peri-urban areas of Brazzaville, Republic of Congo.",Amodiaquine,pfcrt 76T,93,NA,19.17204261,93,NA
2000,Democratic Republic of the Congo,NA,NA,NA,Central Africa,-4.33,15.31,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.313770175,16154388,22,Kinshasa,2000,2000,pfcrt 76T,27,27,27,Severini C,2006,http://www.ncbi.nlm.nih.gov/pubmed/16154388,Mixed infections excluded. In vitro data avai,16154388,Prevalence of pfcrt point mutations and level of chloroquine resistance in Plasmodium falciparum isolates from Africa.,Amodiaquine,pfcrt 76T,100,E,31.3770175,100,NA
2003,Democratic Republic of the Congo,NA,NA,NA,Central Africa,-4.33,15.31,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.357420027,16154388,8,NA,1998,2003,pfcrt 76T,5,3,3,Severini C,2006,http://www.ncbi.nlm.nih.gov/pubmed/16154388,Travellers. Mixed infections excluded. In vit,16154388,Prevalence of pfcrt point mutations and level of chloroquine resistance in Plasmodium falciparum isolates from Africa.,Amodiaquine,pfcrt 76T,100,E,35.74200273,60,NA
2003,Democratic Republic of the Congo,NA,NA,NA,Central Africa,-4.33,15.31,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.357420027,17033142,10,NA,1998,2003,pfcrt 76T,5,3,3,Menegon M,2006,http://www.iss.it/publ/anna/2006/2/422203.pdf,Article in Italian. In vitro data available.,17033142,[Molecular epidemiology of imported malaria in Italy: the use of genetic markers and in vitro sensitivity test in a study of chloroquine resistance in Plasmodium falciparum].,Amodiaquine,pfcrt 76T,60,NA,35.74200273,60,NA
2005,Democratic Republic of the Congo,NA,NA,NA,Central Africa,-4.33,15.31,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.326955855,20439955,10,NA,2002,2005,pfcrt 76T,2,2,2,Andriantsoanirina V,2010,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2861372&tool=pmcentrez&rendertype=abstract,"In vitro data_x000d_
Travellers",20439955,Association of microsatellite variations of Plasmodium falciparum Na+/H+ exchanger (Pfnhe-1) gene with reduced in vitro susceptibility to quinine: lack of confirmation in clinical isolates from Africa.,Amodiaquine,pfcrt 76T,100,NA,32.69558549,100,NA
2001,Equatorial Guinea,NA,NA,NA,Central Africa,3.73,8.77,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.265288353,806,2,NA,2001,2001,pfcrt 76T,102,87,87,"Berzosa P, Molina de la Fuente I, Ta-Tang TH, González V, García L, Rodríguez-Galet A, Díaz-Regañón R, Galán R, Cerrada-Gálvez L, Ncogo P, Riloha M, Benito A.",2021,https://pubmed.ncbi.nlm.nih.gov/34906159/,NA,34906159,Temporal evolution of the resistance genotypes of Plasmodium falciparum in isolates from Equatorial Guinea during 20 years (1999 to 2019).,Amodiaquine,pfcrt 76T,85,NA,26.5288353,85.29411765,NA
2005,Equatorial Guinea,NA,NA,NA,Central Africa,1.75,10.17,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.461585879,23537170,1,Miyobo,2005,2005,pfcrt 76T,184,99,127,Mendes C,2013,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3621214&tool=pmcentrez&rendertype=abstract,Data also stratified by dry/wet season. Addit,23537170,Genetic diversity and signatures of selection of drug resistance in Plasmodium populations from both human and mosquito hosts in continental Equatorial Guinea.,Amodiaquine,pfcrt 76T,69,NA,46.15858793,53.80434783,NA
2005,Equatorial Guinea,NA,NA,NA,Central Africa,2.04,9.78,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.48547858,23537170,2,Ngonamanga,2005,2005,pfcrt 76T,113,66,89,Mendes C,2013,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3621214&tool=pmcentrez&rendertype=abstract,Data also stratified by dry/wet season. Addit,23537170,Genetic diversity and signatures of selection of drug resistance in Plasmodium populations from both human and mosquito hosts in continental Equatorial Guinea.,Amodiaquine,pfcrt 76T,79,NA,48.547858,58.40707965,NA
2005,Equatorial Guinea,NA,NA,NA,Central Africa,3.73,8.77,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.163667083,806,3,NA,2004,2005,pfcrt 76T,262,200,200,"Berzosa P, Molina de la Fuente I, Ta-Tang TH, González V, García L, Rodríguez-Galet A, Díaz-Regañón R, Galán R, Cerrada-Gálvez L, Ncogo P, Riloha M, Benito A.",2021,https://pubmed.ncbi.nlm.nih.gov/34906159/,NA,34906159,Temporal evolution of the resistance genotypes of Plasmodium falciparum in isolates from Equatorial Guinea during 20 years (1999 to 2019).,Amodiaquine,pfcrt 76T,85,NA,16.36670828,76.33587786,NA
2004,Ethiopia,NA,NA,NA,East Africa,6.41,38.31,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.150858462,16817953,0,Dilla,2004,2004,pfcrt 76T,69,69,69,Schunk M,2006,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=1524791&tool=pmcentrez&rendertype=abstract,NA,16817953,High prevalence of drug-resistance mutations in Plasmodium falciparum and Plasmodium vivax in southern Ethiopia.,Amodiaquine,pfcrt 76T,100,NA,15.08584619,100,NA
2002,Gabon,NA,NA,NA,Central Africa,-0.7,10.24,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.238368332,16235185,2,Lambaréné,2002,2002,pfcrt 76T,34,33,33,Uhlemann AC,2005,http://www.ncbi.nlm.nih.gov/pubmed/16235185,In vitro data available.,16235185,Amplification of Plasmodium falciparum multidrug resistance gene 1 in isolates from Gabon.,Amodiaquine,pfcrt 76T,97,NA,23.83683324,97.05882353,NA
2002,Gabon,NA,NA,NA,Central Africa,-0.7,10.24,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.238368332,22004584,1,Lamberéné,1995,2002,pfcrt 76T,215,215,215,Frank M,2011,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3215978&tool=pmcentrez&rendertype=abstract,Pfcrt flanking microsatellites,22004584,A thirteen-year analysis of Plasmodium falciparum populations reveals high conservation of the mutant pfcrt haplotype despite the withdrawal of chloroquine from national treatment guidelines in Gabon.,Amodiaquine,pfcrt 76T,100,NA,23.83683324,100,NA
2004,Gabon,NA,NA,NA,Central Africa,-1.63,13.58,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.117645577,21251998,1,Franceville,2004,2004,pfcrt 76T,96,90,92,Lekana-Douki JB,2011,http://www.ncbi.nlm.nih.gov/pubmed/21251998,NA,21251998,"Increased prevalence of the Plasmodium falciparum Pfmdr1 86N genotype among field isolates from Franceville, Gabon after replacement of chloroquine by artemether-lumefantrine and artesunate-mefloquine.",Amodiaquine,pfcrt 76T,98,NA,11.76455766,93.75,NA
2001,Gambia,NA,NA,NA,West Africa,13.57,-15.61,NA,NA,NA,NA,18008244,4,Farafenni Hospital,2001,2001,pfcrt 76T,88,64,64,Ord R,2007,http://www.ncbi.nlm.nih.gov/pubmed/18008244,Intraseasonal changes studied.,18008244,Seasonal carriage of pfcrt and pfmdr1 alleles in Gambian Plasmodium falciparum imply reduced fitness of chloroquine-resistant parasites.,Amodiaquine,pfcrt 76T,73,I,NA,72.72727273,NA
2002,Gambia,NA,NA,NA,West Africa,13.57,-15.61,NA,NA,NA,NA,16206082,0,Farafenni,2002,2002,pfcrt 76T,141,90,90,Meerman L,2005,http://www.ncbi.nlm.nih.gov/pubmed/16206082,Mixed infections rare. Severe malaria vs. Con,16206082,Carriage of chloroquine-resistant parasites and delay of effective treatment increase the risk of severe malaria in Gambian children.,Amodiaquine,pfcrt 76T,64,NA,NA,63.82978723,NA
2002,Gambia,NA,NA,NA,West Africa,13.57,-15.61,NA,NA,NA,NA,18008244,5,Farafenni Hospital,2002,2002,pfcrt 76T,86,47,47,Ord R,2007,http://www.ncbi.nlm.nih.gov/pubmed/18008244,Intraseasonal changes studied.,18008244,Seasonal carriage of pfcrt and pfmdr1 alleles in Gambian Plasmodium falciparum imply reduced fitness of chloroquine-resistant parasites.,Amodiaquine,pfcrt 76T,73,I,NA,54.65116279,NA
2000,Ghana,NA,NA,NA,West Africa,9.41,-0.85,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.486693591,16117966,0,Tamale,2000,2000,pfcrt 76T,270,207,207,Ehrhardt S,2003,http://www.ncbi.nlm.nih.gov/pubmed/?term=16117966,Displayed prevalence refers to parasite genot,16117966,Chloroquine blood concentrations and molecular markers of chloroquine-resistant Plasmodium falciparum in febrile children in northern Ghana.,Amodiaquine,pfcrt 76T,77,I,48.66935909,76.66666667,NA
2002,Ghana,NA,NA,NA,West Africa,9.41,-0.85,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.362172961,17562799,0,Tamale,2002,2002,pfcrt 76T,3182,1472,2517,Ehrhardt,2007,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2043215&tool=pmcentrez&rendertype=abstract,Stratification of genotypes by dry and rainy,17562799,Large-scale surveillance of Plasmodium falciparum crt(K76T) in northern Ghana.,Amodiaquine,pfcrt 76T,79,NA,36.21729612,46.2602137,NA
2002,Ghana,NA,NA,NA,West Africa,9.39,-0.82,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.419635743,17467758,0,Tamale Teaching Hospital,2002,2002,pfcrt 76T,288,225,225,Wichmann O,2007,http://www.ncbi.nlm.nih.gov/pubmed/17467758,Severe malaria,17467758,High residual chloroquine blood levels in African children with severe malaria seeking healthcare.,Amodiaquine,pfcrt 76T,78,I,41.96357429,78.125,NA
2004,Ghana,NA,NA,NA,West Africa,7.15,0.46,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.164689347,17158810,1,Hohoe,2004,2004,pfcrt 76T,130,59,105,Duah NO,2007,http://www.ncbi.nlm.nih.gov/pubmed/17158810,NA,17158810,"Mutations in Plasmodium falciparum chloroquine resistance transporter and multidrug resistance genes, and treatment outcomes in Ghanaian children with uncomplicated malaria.",Amodiaquine,pfcrt 76T,81,NA,16.46893471,45.38461538,NA
2004,Ghana,NA,NA,NA,West Africa,10.9,-1.1,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.452028632,17158810,2,Navrongo,2004,2004,pfcrt 76T,105,42,48,Duah NO,2007,http://www.ncbi.nlm.nih.gov/pubmed/17158810,NA,17158810,"Mutations in Plasmodium falciparum chloroquine resistance transporter and multidrug resistance genes, and treatment outcomes in Ghanaian children with uncomplicated malaria.",Amodiaquine,pfcrt 76T,46,NA,45.20286322,40,NA
2004,Ghana,NA,NA,NA,West Africa,9.43,-0.02,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.578601718,17158810,5,Yendi,2004,2004,pfcrt 76T,67,30,31,Duah NO,2007,http://www.ncbi.nlm.nih.gov/pubmed/17158810,NA,17158810,"Mutations in Plasmodium falciparum chloroquine resistance transporter and multidrug resistance genes, and treatment outcomes in Ghanaian children with uncomplicated malaria.",Amodiaquine,pfcrt 76T,46,NA,57.86017179,44.7761194,NA
